,product_name,product_review,user_rating,similarity_score
18,Fuzzy,pours a clouded amber to orange color with a fizzy small head which immediately diminishes to a small coatingsmells of leaf wrapped ripe peaches offering a bright fruitiness which comes close to actually cut a peach into half and enjoy its aromas this inherits not only the fruit‘s pulp but also its stone pith quality adding a soft soothing quality to the sprizzy slightly perfumy and floral fruitshas a higher finely nuanced carbonation with an effervescent finish among a lighter yet versatile and intense lighter bodywhile this is doubtlessly focussed entirely on peaches the flavors of the beer offer an initial mineralic quality white bread dough and matured still slightly bitter herbs peaches enter the palate with an early fruit sugar peak which stays till the end but fades down slowly and constantly the fruit itself is defined by a pleasant tartness sweeter peach pulp a light moldy touch among a flowery mildness which allows a rustic barnyard profile consisting of leather and cream cheese to cut through develops an almost creamy finish with an astonishing smoothness of the fruits and a finely beaded mouthfeel leading to a surprising well interweaved juiciness in which the maintaining tartness manages to shinethis tastes great everything comes together perfectly due to the beer‘s awesome mouthfeel and balance it is just as complex as a lambic with a cleverly integrated tartness labeling this unmistakably a sour but with a complexity which assures to be able to pick up the beer‘s subtle nuances,4.35,0.731109737
19,Gueuze 100% Lambic,2013 variant somewhat gentle but down the middle pour yields an almost opaque glowing gold beer topped off with a thin ring of bright white head that quickly recedes just beautiful nose is tart fruity and funky palate builds upon this with a robust a complex fruity character  getting some lemon orange and grapefruit peel this is definitely a strong funky and sour quality as well grassy oaky dry farmhouse notes of earth and hay slight spice to it and a wine like quality all of the flavors so smooth and perfectly intergrated beautifully light and slightly effervescent mouthfeel perfect beer,4.71,0.730979191
20,Double Dry Hopped Fort Point Pale Ale,this is so well balanced and very drinkable not as much of a novelty as a lot of the ddh juice bombs balanced citrus spicy and lightly malty amazingly refreshing,4.56,0.730972287
21,Framboos,a pour’s a merlot ruby rose color with some transparency the head is minimal with absent retention and lacings raspberry jolly rancher with sour patch kid elements an abundance of raspberries with some cherries and assorted berries popping out juicy sugary sweetness with subtle acidityfunkt bright crisp rich berries and fruit with lactic funk and a tad bit musty notes touch upon citrus lemon a little bit of vinegar some vinous like components and an oaky inclusionm medium to light body with scarce carbonation soft yet fairly flat with a morsel of dryness that’s integrated and balanced adeptlyo nice take on a fruited lambic that doesn’t come across as onedimensional a fragrant and aromatic nose with palatable complexities,4.45,0.730045294
22,Pliny The Elder,pours a clear crisp golden hue thin sudsy white head dissipates pretty quickly some light lacing is left behindaroma is a lovely pungent array of bright fresh pine orangey citrus with some floral notes  orange blossom honeysuckle and a hint of bright fresh cut lemon grass while the hops are quite aromatic there is a balance to this as there is a definite light malt backbone coming through even on the nosetaste is follows the nose with notes of citrus  lemon orange tangerine and orange rind  along with fresh pine and a bright floral notes solid crackery malt backbone comes through incredibly balanced and restrained while still being flavorful and complex mild bitterness on the back end with some more piney notes coming through the classic west coast profile comes through here but without trying to punch you in the palatefeel is light crisp and pretty smooth does have a slight slick oiliness to it moderate carbonation with gentle finishoverall this is a lovely ipa with a well earned reputation what was perhaps most surprising to me was its incredible balance and deftness in a market saturated with ipas that try to one up each other this beer knows what it is and does it so well admittedly ive wanted to this one for some time and it did not disappoint  i hope this is not the last time i have this beer,4.5,0.72902774
23,Keene Idea,32oz abc growler served in a snifter glass 9302015pours a lighter orangecopper body clear with a remarkable amount of clarity two finger white head with fair retention given the growler serving and very nice lacing looks like a west coaster through and through smells of tropical fruit dank durian fruit pineapple rich caramel malt slight herbal character a mild amount of spices to it deliciously balanced nose flavour is similarly excellent rich tropical fruit a bit of ripe pineapple and durian fruit slightly funky and spicy backed up by a rich caramel malt that is bold but not to the point of cloying or barleywine levels makes for a very balanced complex and rich double ipa mouthfeel is medium bodied substantial slightly slick and sticky but incredibly drinkable very mild heat to it overall a very rich double ipa with a lot of interesting spicy and tropical fruit character to it this is awesome,4.49,0.728880524
24,West Ashley,into a wine glass at a share amazingly clean soft nectarine and huge waves of apricot everything from the pit to the flesh perfectly balanced tartness to compliment it,4.53,0.726597197
25,Duck Duck Gooze,duck duck gooze batch 2pours a hazy amberyellow color with a small fizzy white head which leaves back no tracesmell is old potatoes glue blue cheese bright and crisp citrus peel with a soft flowery note to it and a slightly acetic tartness very well balanced not pungently sour while producing a nice funky blend got some wet hay on top of its aroma foundation with dried tomatoe bush adding a light herbal complexity to the nosehas a lower to medium carbonation complimenting perfectly to the refreshing tart yet complex and balanced beertastes of fresh squeezed lemon juice accompanied by a funky mushroom quality and a soft mineral aspect its mid palate produces a wood bark covered acetic sourness with a hint of white grape skin to it this results from a sugary malt sweetness which becomes recognizable only as a minor note against the omnipresent sourness while being able to cut through it finishes utmost soft very silk with a pungent dry acetic tone among lemon zest and leathery matured oak still carrying its subtle grape flavorwow this is pushing awas to a new level for me this is balanced and complex like no other american sour ive had so far it got the typical vinegar sourness which is dominating in many examples of american sours this is different though its acetic flavor is setting the balance in this which to me is remarkable by itself since it allows a pungent refreshing lemon sourness to open up the palate to many flavor layers creating an intriguing complexity which at no point gets boring,4.42,0.726564065
26,Double Dry Hopped All Citra Everything,canned 9 days agoa pours strawcolored opaque with a finger of dense white head excellent retention and intricate lacings bright tangerine intricate floral aroma with a bit of mango grapefruit and very light crackery maltt fresh cut tangerine both the flesh and pith dried flowers finishing with very light bitterness a moderate amount of sweetness supports the fruit and flowers superblym mediumfull body with fairly hefty creaminess mediumhigh carbonation with decent biteo delicious and fantastically drinkable a superb showcase of citra a bit green at this stage but that doesn’t detract much,4.75,0.726297111
27,Doppelganger,canned on 10918pours a hazy burnt orangepeach yellow with over a finger of fluffy white head solid head retention leaves froth around the edge and plenty of lacing spattered around the glass as it recedesaromas of creamy apricot and peaches citrus and ripe mango taut fleeting grassy notes add a delicate herbal edge to a lush tropical and lightly hoppy bouquettastes of dank mango dried oranges candied peach and light grapefruit zest deeply floral herbal bitterness dances in harmony with hazy tropical hops on the finish where the profile bursts excellently and reveals the height of its potentialmouthfeel shows a mediumrobust body with a good bit of dryness and an upperlevel carbonation that has a slight presence but tempers itself well among the burst flavor profile delicate prickly climax smooths to a fluffy fulfilling finish with a juicy crispness maintaining on the palate throughout minimalno alcohol presenceunique and eclecticallystructured nedipa there’s so much character here between the profile and construction on the palate and it all holds together so tenuously at a very high level it’s smooth and borderline sessionable by dipa standards and at its peak is both spectacular and approachable regardless it’s one of the more balanced and approachable examples of haze i’ve encountered,4.35,0.72597521
28,Abt 12,dark brown with a foamy tan head holding it up to the light reveals a slight translucence and possible cloudiness the aroma is rich and full bodied nicely carbonated tingly velvet the flavor is rich and robust not distinctive or identifiable just a hint of alcohol a very pleasant rich robust beer,4.03,0.725622476
29,Sante Adairius / Triple Rock Cellarman Barrel Aged Saison,l cross between white and pale good haze level white head which dissipates quicklys tartness bit of funk some fresh lemont crisp and bright good refined lemony tartness mild funkf crisp with some biteo very nice and refreshing offering from sara definitely will buy again,4.45,0.724966379
30,Flora Plum,well balanced fruited wild ale the beer is a vehicle for the plum i miss some of the nuance of flora as the base beer takes a backseat to the tartness and acidity of fresh plum the mouthfeel draws character from the plum skin with a finishing dryness and crisp tartness the flavors harmonize as they warm slightly with a fuller plum flesh flavor and aroma very nice expression of fresh plums,4.47,0.724724839
31,Double Dry Hopped Mylar Bags,drank on tap at other half brewing co brooklyn ny served in a tulipcloudy yellow ochre appearance the nearly opaque liquid was topped by a small frothy white cap that quickly dissolved minimal spotty lacing stuck along the glassthe aroma was amazingly hoppy and bright super dank and juicy cannabis definitely came to mind intense citrus notes too loads of juicy orange and tangerine some crisp wheatiness as well perhaps a bit simplistic overall but flawless neverthelessthe flavor profile was very similar to the nose and nearly as impressive citrus notes dominated loads of orange both juicy flesh and pithy rind tangerine was also noticeable somewhat tart and tangy pineapple also came to mind more punchy orange notes and pithy grapefruit rind on the back end and in the finish a fair amount of bitterness lingered after the swallowoutstanding mouthfeel super smooth and supple creamy and slick on the palate fuller bodied for the style the liquid contained an amazingly fine frothy effervescence that fluffed up beautifully on the palateother half brewing continues with their mission of putting out some of the greatest hoppy beers on the planet and double dry hopped mylar bags is possibly one of their most impressive releases to date this is a truly fantastic representation the style,4.79,0.724575913
32,Beatification,2018 edition poured into a tulip a clear bright golden color with a modest white head that quickly settled crisp citrus aroma  lemon and orange some brett funky esters and dough as well the taste was phenomenal juicy citrus notes mixed with grassy funky elements doughy bread and earthy elements moderately tart and very drinkable the cherry on top was the elegant oaky presence throughout not overwhelming but enough to easily notice exceptional,4.49,0.724554475
33,Pseudo Sue,murky creamsicle orange in color poured with a short soapy white foam with medium low retention sharo citrus tangerine and under ripe pineapple with a light dankness medium malty aromas medium bodied with medium light carbonation creamy rich silky smooth feel followed by boozy warmth that gets a little prickly at the finish citrus and pineapple hop flavors with a solid malt backbone spicy bitterness slowly expands through the middle pine hop and sharp citrus notes on the backend along with fruity flavors and boozy warmth finished semidryly with light fruity notes and lingering pine hop bitterness light fruity notes and malt provide just enough balance with fantastic fresh complex hop character smooth creamy feel with pleasant bitterness and just a touch of dankness this was excellent,4.4,0.724515878
34,Emerald Grouper,fairly fresh aquired in a trade no bottling datesuper tight white bubbly head on a beautiful yellowgold slight hazy body i like keeping in the sediment aroma is pretty standard grapefruity citrus piney but really clean and clear flavor is awesome everything you’d expect plus a smoother honeyed and lactose experience that delivers the hops in a soft and creamier manner sooo smooth for a big dipa unique given the familiar hop and malt profile,4.48,0.724403704
35,Abricot Du Fermier,bottle poured alight peachy color ale with a bubbly head with ok retention and minimal lacing aroma of light apricot and tart notes is pretty refreshing and pleasant taste is a nice mix of tart notes with some fresh apricot notes and a white winelike finish body is about average with good carbonation acidity level is kept at a reasonable level very refreshing with solid mix of complexity,4.22,0.724169689
36,Fuzzy Baby Ducks,canned on 52419pours a slightly cloudy golden dark orange body topped with a fluffy tightly composed white head excellent retention recedes evenly to a thick cap and uniform tapestry of lacingaromas burst with deeply juicy resinous tones of pineapple papaya and tropical zest a beautiful honeyed orange highlights the bouquet upfront occasionally dense bready spice and corn flakes pop on the backbone to support the deep citrusy sweetness with a deft herbal touch that defines the aromataste follows the bouquet with plenty of orange peel orange honey blossomcoated malt and juicy pineapple pine and grapefruit combo appear for a citrusyherbal prickle while a faint flaky malt builds and a slight cirusy creaminess both ties things together and gives the profile new life entering the finishswallowmouthfeel shows a body on the lighter side of medium and lifted by a creamy but slightly prickly carbonation oily resinous tones hold until the midpalate where a dense crispness based in the taut balance of malt and hops takes over welltamed bitterness peaking near the finish that dries subtly as the crispness peaksendlessly drinkable and packs incredible depth into 6 undoubtedly sweet in its fruitier tones but a calmly balancing malt and bitterness holds everything together effortlessly and brings this brew to the next level a spectacular ipa for all occasions,4.38,0.724039832
37,Great,amazing barleywine one of the best beers ive had pours a tad flat but expected for the style and from other reviewshard to describe how great this is it is the perfect level of sweetness without being too sweet light bodied and extremely smooth the barrel is subdued and works perfectly to balance the sweetness,4.8,0.723144053
38,Ghost In The Machine - Double Dry-Hopped,102119 from a can released late september 3 weeks old taste rating upped from 425 to 45 for a touch more creaminess at the front of the palate and some incenseonionherbal hop tones further accentuating the back end balanced to the point of understatement but enabling a level of universal approachability few neipas reach especially with a ddh treatment this beer sits casually at the peak of the style with few others as level or refined came across this one purely by chance recently and was pretty excited to dig inbottled on 91418pours an opaque and glossy golden peach with a finger of fluffy white head solid retention and uniform lacing sticks around a good whilearomas of deep herbal grass huge tangerine orange and citrus fruit dank green piney and spicy hops vivid and bright hints of creaminess form as the bouquet quietstaste brings a detailed prickly hop balance intensely herbalearthy but cut slightly by juicy citrus notes of mango orange and tangerine a level burst of flavor is consistent and the thoroughly enjoyable profile holds an impressive balance of weight considering it’s ddh treatment that has it verging on sessionablemouthfeel is pure silk on the palate with leveled carbonation and a nearperfect medium body goes down like nothing with just slight residual hops on an earthy finish hanging around to remember it bydamn impressive in its drinkability and nuanced raw hop notes drains the citra dry to find a beautiful medium between raw intense and juicy superior example of balance in a neipa,4.5,0.723064194
39,Pseudo Sue - Double Dry-Hopped,l murky strawyellow hue with decent retention and lacing to lasts citrus pineapple and melonst super citrus with hoppy backbone and earthy grassiness from the dryhoppingf medium body with fine carbonation and bitter to booto varied significantly sometimes i prefer the standard but a good drinking brew,4.42,0.722802256
40,Upper Case,on tap in vermont i do not remember where three penny probablythe pour is that of an neipa hazy thick and yellowthe aroma is aggressively fruity and tropical nice but again nothing too exceptional for the styleflavor is again nice well balanced the fruitiness is pretty extreme but still wellrounded,4.25,0.722648005
41,Saison Bernice,bottle poured into fluted snifterslightly hazed yellow straw thin foamy head quickly dissipates into thin ring of bubbles around my glassaroma is crisp citrus yeast slight sweet tartness hint of grassy fieldcrisp and clean flavors subtle white wine citrus zest sweetness comes through as delicate white fleshed fruitmoderate carbonation and dry medium bodyoverall an excellent brew refined flavors and perfectly balanced,4.52,0.722515491
42,Dinner,apours a nice hazy orange color with a nice head and lacing aaroma has very nicely balanced resin dank and tropical hints ttaste follows the nose with very well balanced resin dank and tropical flavors ma medium bodied well balanced well carbonated and complex flavored beer oanother great beer from a great brewery,4.75,0.722308342
43,Society & Solitude #6,pours a hazy beige color with notes of orange a big thumb length head retains well and yields rings of lacingthe aroma displays several indicators of mosaic hops notes of berries citrus bubblegum mango and peach on the herbal end there are aromas of grass and pine subtle and significantly pungent like some of their other offeringssweet and juicy with a medium bodied frothy and smooth mouthfeel the fruity flavors mostly align with the aromas except that flavors come into play as well a malt backbone that includes wheat and oats contribute to the creamy texture complimented by the gentle carbonation mild notes of pine and grass add a gentle spice the finish is dry with flavors of spiced bubblegumnot as intense as some of the other society and solitude offerings just smooth and flavorful easy drinking,4.25,0.722060864
44,Abraxas,it’s pretty bold to name a beer after this album but if carlos drinks stouts i’m sure it’s ok it looks exactly as i think a big stout should look ultra dark opaque brownblack yet it preserves a beautiful garnet overtone the aroma is a bit underwhelming although it makes pleasant promises of well balanced coffee and malt then the taste brings the game up to world class status full and complex but subtle and perfectly blended to make a really great flavored stout of this kind you have to start with a great base beer this is exactly what perennial has done in this case it is first and foremost a really excellent stout then the other flavors are blended in with impressive expertise the chili’s in particular are a delightfully ethereal aura of flavor feel is smooth and a little crisp a very finely crafted stout,4.36,0.721812507
45,Todd The Axe Man,on tap at dive bar nycpours a slightly hazy golden orange color a finger length foam head shows good retention and light lacingthe aroma effectively features the attributes of mosaic hops aromas of berries bubblegum tangerine sweet grass and a touch of tropical fruitjuicy flavors are offset by a dry finish to its credit it’s not too sweet pithy flavors of tangerine orange and grapefruit complimented by a developing spicy middle palate that evokes notes of light pine resin notes of berries bubblegum and tropical fruit over a slightly doughy malt base a restrained and easy going bitterness adds balancemedium bodied smooth yet slightly crisp mouthfeel the finish is dry citrusy and with a gentle touch of bitternessoverall a well done ipa that features the mosaic hops simple and deftly crafted easy drinking overall,4.25,0.721621163
46,Fuzzy Baby Ducks,golden orange yellow in color hazy in appearance citrus zest nectarine and mango biscuit malt profile medium bodied with a creamy feel lower in carb balanced with all flavors melding together not really bursting with flavor but its nice dont really get the super hype on this one maybe the balanced nature of it actually elevates it,4.13,0.721052196
47,Art,375ml bottle batch 5 dated march 18 2015 poured into a hill farmstead oversized wine glassthe beer pours a bright golden color hazy and cloudy with a finger of white soapy head that has good retention and yields plenty of lacing the aroma is excellent great funk nice and bright soft oak light vinous acidity floral with a touch of sweet pale dough and some berry fruit the flavors are excellent beautifully balanced and layered lovely funk softly tart citrus berry fruit bright white wine grape lightly acidic with an incredible floral bouquet soft chewy oak plays with the pale doughy malt a touch of spice and soft pitted stone fruits the mouthfeel is excellent coating and creamy medium body that is so gentle and soft with the easiest of finishes that is lightly tartverdict an incredible saison from hill farmstead beautifully balanced bright and delicate just an exceptional beer it’s soft and approachable and effortlessly complex,4.67,0.721049955
48,Flora - Blueberry,bottled oct 12 2018a pours a clear garnet with a cap of bright white head with largish bubbles recedes quickly to a razor thin ring and then to nothing minimal retention and no lacings sharp earthy blueberry moderate grainy wheat and pretty hefty horse blanket dry spiced oakt watery lightly acidic blueberry mild earthy funk barnyard and grainy wheat a lingering mediumlight tartness imparts a nice refreshing aspectm light bodied crisp with mediumhigh spritzy carbonationo smells exceptional but the taste is a bit watery with muted brett flavor this would be a very good warm weather beer,4.3,0.721014055
49,Lou Pepe - Kriek,lp kriek 13 vintagepours a vibrant ember to lilac color with a fizzy bubbly head leaving back a thick film of lacing at the rim of the glassdusty leather accompanied funky cherry from the very first smell produces a ripe dark sour cherry impression while ensuring an intriguing complexity due to wood bark dried oak and heated cherry pit among a fermented tartnessdrinks soft and perfectly balanced while adding a subtle dryness to the uprising associated tartness during the finish exhibiting the beers flavor richness perfectly wellamarena sweet cherries among a pleasant earth coated funkiness showcasing the fruits ripeness with a sugary peak to them the beer produces a prominent stone quality among a dusty pleasantly pungent funkiness utmost fruity in the finish featuring almost overripe juicy cherries in all its facetts and layersa different beast than their regular kriek way more complex and fruitier the sherries establish a fantastic characteristic between lusciously ripe and already fermented fruits tied together by a crisp citraic sour punch,4.49,0.72051461
50,Saison Bernice,hazy pastel yellow with a dense layer of foam delicate drippy lacing in the glass aroma has some gentle acidity and white wine traces taste is moderately tart with some balanced oaky notes of white wine barrel dry finish with a slight tannic aftertaste balanced and drinkable thanks dan for sharing,4.25,0.720453413
51,Flora,batch 7beautiful looking beer hazed golden straw color bright white head is dense but fizzes away quickly aromas are just beautifully enticing and the flavors complimentary there is a beautifully bright wine charter lemon zest mellow funky must quality lactic grassy funky hay character oak vanilla just absolutely beautiful a strong tartness to it mouthfeel is zippy and crisp 5,5,0.720327211
52,Society & Solitude #5,pours an opaque pale orange in color with a finger of pillowy white head aroma is a bit on the muted side but i get pineapple grapefruit orange and mango taste hits the same notes as the aroma lots of smooth tropical fruits with a touch of citrus and pineapple sharpness finish leans lightly bitter mouthfeel is perfectly pillowy medium bodied with moderate carbonation this is an excellent beer its near perfectly balanced and super drinkable i wish i had grabbed more than one growler,4.66,0.720257515
53,Double Orange Starfish,drank from a 1 pint 473ml can purchased at aslin beer company herndon va served in a tekucloudy yelloworange appearance the nearly opaque body was topped by frothy fingertall bright white crown that fell to a lasting collar a streaky latticework of lacing stuck all along the glassfantastic hoppy and clean aroma big tropical fruit notes mango and guava came through strongest some honeydew melon was noticeable as well touch of dankness subtle citrus notes too nice juicy orange presencethe flavor profile was nearly as impressive as the nose really hoppy and bold but fantastically well balanced terrific mix of citrus and tropical fruit notes loads of juicy orange flesh on the front end bit of mango and generic tropical fruitiness too crisp and lemony in the center orange peel came through on the back end and in the finish some white grapefruit as well hint of resiny bitternessterrific creamy frothy mouthfeel slick smooth and supple on the palate the liquid contained a fine moderate pillowy soft effervescencedouble orange starfish is an excellent double ipa with a clean potent hop profile and just enough malty sweetness to keep the bitterness in check aslin continue to release hoppy beers that compete with some of the best offerings coming out of new england,4.58,0.720247647
54,Sip Of Sunshine,pours a mostly clear albeit cloudy orange color bright and bronzed thin velvety white foamy head dissipates somewhat but never completelybright aromas of orange grapefruit pine and a strong malty backbone on the aromataste follows the nose with immediate notes of orange orange rind pine sap and grapefruit giving way to a strong malty backbone with caramel notes strong piney bitterness starts on the back end and lingers into the finishfeel is medium bodied but not too heavy somewhat oily smooth and slick moderate yet bright carbonation this feel is really perfect for a dipaoverall a lovely dipa that does live up to its reputation as an outstanding example of the style,4.26,0.720105274
55,Double Dry Hopped Double Mosaic Dream,bottom of can 21919straw golden color with slight amber hues a fluffly and bubbly white foam keeps it high light coverage displaying sticky lacemosiac hop has to be one of the most diverse hops in every way the aroma is of sweet tropical fruits pineapple citrus and melons the malt is a light crispy grain and a smooth creamy style smell very light and golden aromatics big time nosethe tropical fruity hop complexity from the mosiac is pretty high grade the hop flavor rolls on and on with multiple layers a sharp earthy dry texture kicks in peppery pineapple a dry citrus tones soon roll in oranges with black pepper and dry crispy pilsner style malt all mingle together for a bit until it all finishes dry and hearty a milky smoothness happens within the malty feel and flavor that lingers on as creamy and then more orange citrus tones come back like i said complex with layersthe dry hopped mosiac approach makes for a seriously deep hoppy groove in both mouthfeel and flavor the aftertaste of fresh dry hops keeps going long after the last sip obviously complexity is vety high concidering the quality and balance of malthops the ale yeast is always very neautral and clean which allows the hops to shine and malt to hold it all down you would never know this is 85 abv because of the heady complexity and dry tones the alcohol only adds further depth to an already heady brew,4.51,0.719416921
56,Hunahpu's Imperial Stout - Bourbon Barrel-Aged,bourbon is soft well balanced and tones down the cinnamon chocolate and other notes silky smooth mouth feel easy on the palate worth the bottleprost,5,0.71889473
57,Barrel-Aged Abraxas,2017 bottle shared amongst friendsfinally finally had the opportunity to try this one and unlike usual at least imho the hype was warrantedextremely well balanced and smooth subtle chili heat balanced by a somewhat sweet chocolate the alcohol is extremely well hidden but you get just enough barrel thick and creamy mouthfeel just perfect,5,0.718737848
