	Date	user_id	comments
31	June 11, 2019 6:59PM	carnaught	I think our wonderful legislators should have to deal with health insurance that we peons have had to.
32	June 11, 2019 7:29PM	rayainsw	""" Your first RMD must be taken by April 1 of the year after you turn 70½.""
- Ray
Turning 70 and a half next year . . ."
33	June 11, 2019 7:40PM	kyfdx	Don't wait until the next year.... you'll have two RMDs that year. No grace period on the 2nd year.
34	June 11, 2019 8:12PM	rayainsw	"Agree - from a tax perspective...
- Ray
Plan to take my 1st RMD next year."
35	June 11, 2019 8:16PM	stickguy	lots of people screw up that first one. you can take it before 1/1 to spread them out into 2 different tax years. But once you wait until 4/1 you have to get the second one too by 12/31.
36	June 11, 2019 9:07PM	mjfloyd1	Is RMD a required minimum distribution?
37	June 11, 2019 9:26PM	stickguy	yes.
38	June 11, 2019 10:07PM	corvette	As opposed to RWD. 
39	June 11, 2019 10:12PM	corvette	We’re at 3100 pages of CCBA discussion. My first car had a GM 3100 V6. That engine didn’t have the following that the 3800 did, but you could hear the pushrods thrashing around just as well. 
40	June 11, 2019 11:58PM	ab348	I never liked the 2800/3100/3400 series of engines. They all had a clattering sound like a sewing machine.
41	June 12, 2019 2:08AM	fintail	"2800 and 3100 especially had what I call the ""popcorn popper"" exhaust note, too."
42	June 12, 2019 11:43AM	nyccarguy	At the end of March 2017, I purchased my 2015 Infiniti Q40 AWD as a CPO car.  The person who leased it originally drove only 7,468 miles in 2 1/2 years.  I have put significantly more miles on it since then.  
43	June 12, 2019 11:53AM	qbrozen	"Is that the only car you drive?

miles like that is why I have my wife in more than one vehicle."
44	June 12, 2019 11:55AM	au1994	I've driven quite a few of the 3.8 GM engines and while it may be loud and a little rough, it makes good power. My mom had a Cutlass Ciera with it and that would move nicely when driven by a 17 year old.
45	June 12, 2019 11:58AM	tjc78	"I just looked at the miles on the Enclave (it's usually hidden, by miles to empty) and we just crossed 20. Sept is 2 years so pretty much on point with the 12K /yr lease.

The Elantra still hasn't crossed 17K and goes back in November.... guess we should drive that one more.

Wife has been using that for her 10 mile round trip commute to the train. She likes how easy it is to park. So, I have been mostly driving the Enclave. As nice and comfortable as that thing is I just prefer a car."
46	June 12, 2019 12:30PM	ab348	My only experience with the 3800 was in my first-gen Lacrosse and it disappointed me. But I concluded that was due to a faulty transmission they never did get fixed properly and which led me to unload the thing. I based that on the performance of a loaner Lacrosse with the same engine I got one time the dealer was tearing my transmission apart again. The loaner was much more zippy than my car.
47	June 12, 2019 12:46PM	stickguy	"my TLX turns 6 months old (time flies!) next week. Should be sitting right about 4,000 miles by then. The Sonata went back at the end of the 3 year lease with 20.500 on it. The RDX turns 7 in September, and that is still just under 54,000.

we need to get out more!"
48	June 12, 2019 1:58PM	nyccarguy	"@qbrozen

Pretty much. Since I had the clutch replaced last year for a tidy sum (It is almost time for the 2nd timing belt replacement and my tires are shot), I've pretty much kept my Prelude parked. Also I have to park on the street here at work and I know one day it is going to get hit (It is inevitable, like Thanos). I could take my wife's Pilot a few days per week. Besides the miles, the Q40 sucks down 93 at a rate of less than 20 mpg. Gas is expensive in CT and I'm filling up to the tune of about $57 - $60 once a week (ish).

Ideally I'd be looking to get into a 2 year lease of something where they don't kill you if you go over the miles or let you buy the miles in advance at a significant discount. I've toyed in my head to see if it would be financially advantageous to lease 2 cars with 10K per year, but that's way more expensive than leasing a car and paying for the extra miles up front. I'm open to suggestions as always!

Part of the reason I was looking at the Tacoma is due to the fact that I could take out a 12K per year lease in order to take advantage of the high residual value, put down the MSD (which lowers the monthly payment by about $50/month), and then use the MSD to pay for the extra 16,000 miles (plus the disposition fee) I'd drive during the 2 year lease (TFS only charges $.15 per mile if you go over) when I turn it in at the end of the lease.

If I were to take a 15,000 mile per year lease on a car that charges $.25 per mile over, then I would go over my miles (and likely be out of warranty at some point during the lease). It would cost me an extra $3,750 over 3 years (plus tax) or $104.17 per month. On a 2 year/15,000 mile per year lease, I'd only go over my miles by 10,000 which would cost me the same $104.17 per month, but $2,500 total."
49	June 12, 2019 2:40PM	marcogallo1986	 Send man well this government stuff is crazy what they make everyone do. 
